_u1.fuid,_u1.fplatformname,_u1.dt,_u1.if_away,_u1.label_score_week,_u1.label_score_month,_u1.play_score_alteration,_u1.label_score,_u1.play_passion_7day,_u1.pay_passion_7day,_u1.play_passion_30day,_u1.pay_passion_30day,_u1.lifespan,_u1.signup_to_now_days,_u1.total_silver_coin,_u1.total_gold_bar,_u1.carrying_silver_coin,_u1.carrying_gold_bar,_u1.safebox_silver_coin,_u1.safebox_gold_bar,_u1.if_vip,_u1.play_duration_life,_u1.play_duration_30day,_u1.play_duration_7day,_u1.play_innings_life,_u1.play_innings_30day,_u1.play_innings_7day,_u1.win_innings_life,_u1.win_innings_7day,_u1.lose_innings_life,_u1.lose_innings_7day,_u1.win_rate_life,_u1.win_rate_7day,_u1.pay_count_life,_u1.pay_count_30day,_u1.pay_count_7day,_u1.pay_sum_life,_u1.pay_sum_30day,_u1.pay_sum_7day,_u1.login_count_life,_u1.login_count_7day,_u1.bankrupt_count_life,_u1.bankrupt_count_7day,_u1.relieve_count_life,_u1.relieve_silver_coins_life,_u1.match_innings_life,_u1.match_duration_life,_u1.match_win_rate_life,_u1.recent_login_series_days,_u1.latest_play_coins,_u1.last_active_to_now_days,_u1.last_pay_to_now_days
15465,四川,2018-07-02,0,8,8,0.266666666667,8,22,0,30,0,1111,1112,60423,0,4002,0,56421,0,0,839443,31379,7457,6162,236,61,3253,27,2656,29,0.5279,0.4821,0,0,0,0.00,0.00,0.00,677,9,168,0,60,480000,2418,334966,0.0074,0,540,1,0
16579,辽宁,2018-07-02,0,6,6,0.16,6,63,0,75,0,1109,1109,1031490,0,111883,0,919607,0,0,7385938,210520,43011,22143,724,150,2547,12,1669,8,0.1150,0.6000,7,0,0,148.00,0.00,0.00,1562,7,34,0,25,230000,17849,6082000,0.0003,1,9417,0,72
50192,四川,2018-07-02,0,6,6,-0.119047619048,6,94,0,84,0,1082,1082,2480,0,2480,0,0,0,0,504856,180553,61000,5019,1281,433,2287,254,2446,153,0.4557,0.6241,8,0,0,22.50,0.00,0.00,535,26,367,10,188,1510000,2888,202860,0.0010,21,-4800,0,291
55273,四川,2018-07-02,1,9,8,0.8,8,3,0,15,0,1077,1080,1832847,552,2876,376,1829971,176,0,1193819,18703,179,14890,139,1,6912,0,7697,1,0.4642,0.0000,0,0,0,0.00,0.00,0.00,816,1,22,0,11,98000,13964,1103256,0.0170,0,-5884,3,0
55307,四川,2018-07-02,0,6,6,0.093023255814,6,78,0,86,0,1080,1080,18000,99,18000,99,0,0,1,411133,143725,28424,5081,1048,206,2308,110,2663,84,0.4542,0.5670,0,0,0,0.00,0.00,0.00,347,15,219,34,59,472000,3270,173437,0.0000,41,-7434,0,0
60316,四川,2018-07-02,0,6,8,-0.362068965517,8,79,0,58,0,1078,1078,788235,16,15682,16,772553,0,0,1596222,85502,29562,24084,1076,379,11149,202,12686,173,0.4629,0.5387,1,0,0,2.00,0.00,0.00,1342,29,458,10,355,2928000,17861,1122535,0.0132,5,-18000,0,943
73243,四川,2018-07-02,0,8,8,0.323529411765,8,23,0,34,0,1074,1074,631147,0,17060,0,614087,0,1,404584,10702,2526,2859,79,19,1626,12,1096,7,0.5687,0.6316,0,0,0,0.00,0.00,0.00,1249,9,0,0,0,0,2180,314702,0.0000,40,960,0,0
75060,辽宁,2018-07-02,1,9,5,0.893617021277,5,5,0,47,35,1070,1074,0,10,0,10,0,0,0,227527,169703,4260,724,552,14,191,8,182,6,0.2638,0.5714,15,15,0,21.00,21.00,0.00,58,3,26,2,14,112000,177,58175,0.0169,0,-12544,4,18
83807,四川,2018-07-02,1,9,8,0.789473684211,8,4,0,19,0,1066,1071,189912,24,10891,24,179021,0,0,986195,14914,1959,12453,96,12,5082,6,7133,6,0.4081,0.5000,1,0,0,2.00,0.00,0.00,1082,2,708,0,359,3144000,9866,801951,0.0224,0,-45000,5,557
84934,四川,2018-07-02,0,8,8,0.294117647059,8,36,0,51,0,1071,1071,1999539,0,75958,0,1923581,0,0,6347888,93501,20215,98450,483,109,30633,59,67966,49,0.3112,0.5463,80,0,0,168.00,0.00,0.00,4221,10,971,0,507,4134000,97940,6249484,0.0000,1,-10000,0,467
90163,四川,2018-07-02,0,6,6,0.133333333333,6,65,0,75,0,1070,1070,5413409,0,4559,0,5408850,0,1,5798924,87874,15136,64261,824,147,32515,81,31229,64,0.5060,0.5586,0,0,0,0.00,0.00,0.00,5000,39,0,0,0,0,55216,4852892,0.0002,52,-4680,0,0
90639,四川,2018-07-02,1,9,8,0.5,8,5,0,10,0,1065,1070,13460,0,13460,0,0,0,0,188539,20174,2084,2468,114,10,1096,5,1325,5,0.4441,0.5000,0,0,0,0.00,0.00,0.00,150,1,93,1,48,464000,2344,166281,0.0000,0,2800,5,0
124001,四川,2018-07-02,1,8,8,0.0,8,12,0,12,0,1058,1061,376531,0,13296,0,363235,0,0,464048,10331,2504,6389,76,20,2220,7,4080,11,0.3475,0.3889,1,0,0,0.50,0.00,0.00,458,5,22,0,10,80000,1817,156945,0.0000,0,1200,3,168
134873,四川,2018-07-02,0,8,8,0.375,8,20,0,32,0,1058,1059,392897,88,15242,88,377655,0,0,2529909,33835,5815,34766,305,57,17002,42,17592,15,0.4890,0.7368,0,0,0,0.00,0.00,0.00,2613,4,639,0,384,3334000,29259,1882155,0.0002,0,480,1,0
139337,辽宁,2018-07-02,0,6,6,0.0595238095238,6,79,0,84,0,1058,1058,41219,0,14122,0,27097,0,1,1174952,147932,33271,3520,467,105,1706,57,1772,48,0.4847,0.5429,0,0,0,0.00,0.00,0.00,1585,55,429,11,364,2964000,1460,510168,0.0000,81,-9000,0,0
156101,四川,2018-07-02,1,9,8,0.740740740741,8,7,0,27,0,1049,1054,174103,1,16650,1,157453,0,0,1210828,7857,638,12234,75,7,6176,5,5894,2,0.5048,0.7143,0,0,0,0.00,0.00,0.00,2096,2,231,0,132,1080000,10441,1028748,0.0119,0,-3200,5,0
180457,四川,2018-07-02,0,6,6,0.0606060606061,6,93,0,99,0,1047,1047,15615,320,3450,320,12165,0,1,4190196,364710,57846,48766,2219,511,22903,278,24389,224,0.4697,0.5538,3,0,0,6.00,0.00,0.00,4562,63,58,6,36,306000,40986,3504831,0.0000,55,-3200,0,1029
190652,四川,2018-07-02,0,6,6,0.119047619048,6,74,0,84,0,1043,1043,8650369,0,13260,0,8637109,0,1,4463308,132135,24039,33206,781,149,17825,70,14625,73,0.5368,0.4895,0,0,0,0.00,0.00,0.00,4528,26,0,0,0,0,27304,3716429,0.0000,343,-3600,0,0
192275,四川,2018-07-02,1,9,8,0.666666666667,8,4,0,12,0,1039,1042,711062,0,3240,0,707822,0,0,1875570,15836,1124,23774,114,10,11137,4,12413,6,0.4685,0.4000,0,0,0,0.00,0.00,0.00,1417,2,24,0,14,140000,18373,1322148,0.0015,0,-6990,3,0
193281,四川,2018-07-02,1,8,8,0.388888888889,8,11,0,18,0,1038,1042,0,0,0,0,0,0,0,250297,28789,5229,2167,218,41,950,19,1095,19,0.4384,0.5000,4,0,0,15.00,0.00,0.00,193,5,100,6,43,344000,724,96932,0.0138,0,-4230,4,173
196722,辽宁,2018-07-02,0,8,6,0.358208955224,6,43,0,67,0,1041,1041,128310,80,1327,80,126983,0,1,3787084,100418,17069,12569,332,57,6256,32,6137,25,0.4977,0.5614,0,0,0,0.00,0.00,0.00,3013,16,482,0,431,3480000,9571,2858318,0.0000,1,-8000,0,0
199820,四川,2018-07-02,1,9,8,0.733333333333,8,4,0,15,0,1041,1041,33133,0,13289,0,19844,0,0,1362773,26599,676,18290,267,7,7346,2,10397,5,0.4016,0.2857,0,0,0,0.00,0.00,0.00,2363,2,561,0,350,2802000,16796,1219513,0.0000,1,-400,0,0
202135,四川,2018-07-02,1,9,8,0.847826086957,8,7,0,46,0,1036,1040,5500,7,5500,7,0,0,0,322048,78605,497,9764,1304,18,4328,6,5341,12,0.4433,0.3333,1,0,0,2.00,0.00,0.00,84,2,105,2,69,552000,8147,224034,0.0120,0,-6275,4,1037
206099,辽宁,2018-07-02,1,8,8,-0.6,8,16,0,10,0,1038,1039,2632,4,2632,4,0,0,0,1718137,25796,10436,9386,88,31,3405,13,5814,18,0.3628,0.4194,19,0,0,132.00,0.00,0.00,1777,12,806,7,514,4282000,8294,1469893,0.0105,0,-5000,1,404
211369,辽宁,2018-07-02,0,9,5,0.653846153846,5,9,0,26,47,1037,1037,551150,0,75800,0,475350,0,0,2791729,41743,1456,13732,164,5,5335,3,8245,2,0.3885,0.6000,28,2,0,1179.00,100.00,0.00,3725,8,60,0,45,364000,10708,1950052,0.0063,1,15000,0,21
212212,辽宁,2018-07-02,0,6,8,-0.340425531915,8,63,0,47,0,1036,1036,51250,37,51250,37,0,0,0,1272799,67361,15389,7150,324,151,2134,37,2896,74,0.2985,0.3333,0,0,0,0.00,0.00,0.00,1441,20,499,9,218,1780000,5883,921919,0.0219,8,17425,0,0
229044,四川,2018-07-02,1,9,8,0.785714285714,8,3,0,14,0,1025,1031,1193961,0,5899,0,1188062,0,0,342959,13385,165,3009,137,1,1271,0,1634,1,0.4224,0.0000,0,0,0,0.00,0.00,0.00,411,2,0,0,0,0,2379,286188,0.0000,0,-6861,6,0
235396,辽宁,2018-07-02,0,8,8,-0.368421052632,8,26,0,19,5,1029,1029,116552,18,3014,18,113538,0,0,1721759,36234,10172,14361,243,58,6782,14,7146,38,0.4723,0.2692,18,1,0,87.00,3.00,0.00,878,6,84,0,63,506000,11495,1086816,0.0093,2,-6000,0,14
235671,辽宁,2018-07-02,0,6,8,-2.0,8,69,0,23,0,1029,1029,13697,10,13697,10,0,0,0,1063950,37760,21595,5826,318,183,1771,70,2339,85,0.3040,0.4516,0,0,0,0.00,0.00,0.00,1102,40,222,15,176,1454000,2561,594644,0.0043,12,-4320,0,0
243963,四川,2018-07-02,0,8,8,0.0714285714286,8,13,0,14,0,1027,1027,5017838,0,19660,0,4998178,0,0,1526577,22218,3186,9642,147,19,5211,11,4039,8,0.5404,0.5789,1,0,0,6.00,0.00,0.00,1452,9,0,0,0,0,8368,1336837,0.0000,19,6500,0,1025
271288,四川,2018-07-02,0,6,6,0.056338028169,6,67,0,71,0,1016,1016,4200,6,4200,6,0,0,1,477817,72900,16493,4871,595,126,2102,47,2717,77,0.4315,0.3790,0,0,0,0.00,0.00,0.00,842,37,210,14,146,1168000,3459,310669,0.3906,36,-3400,0,0
278615,四川,2018-07-02,1,9,8,0.75,8,4,0,16,0,1008,1014,0,0,0,0,0,0,0,877057,24790,633,8735,164,4,3803,0,4742,4,0.4354,0.0000,6,0,0,24.00,0.00,0.00,771,1,485,3,270,2316000,7569,694495,0.0358,0,-8920,6,101
281695,辽宁,2018-07-02,0,8,8,0.391304347826,8,28,0,46,0,1013,1013,1551894,279,15170,279,1536724,0,0,1424829,95601,11761,9112,454,43,3528,4,4140,7,0.3872,0.3636,0,0,0,0.00,0.00,0.00,1528,11,19,0,12,100000,7988,1213350,0.0489,3,3600,0,0
315017,四川,2018-07-02,1,9,8,0.5625,8,7,0,16,0,998,1000,755840,30,625180,30,130660,0,0,3742852,18652,762,27820,124,5,14600,1,11945,3,0.5248,0.2500,0,0,0,0.00,0.00,0.00,3097,4,42,0,22,212000,27820,3742852,0.4431,0,-26400,2,0
320550,辽宁,2018-07-02,1,NULL,8,NULL,8,NULL,NULL,20,4,993,998,1000,0,1000,0,0,0,0,3473337,33406,0,13036,121,0,6663,0,6274,0,0.5111,0.0000,15,1,0,112.00,2.00,0.00,2597,1,1051,0,823,6598000,10847,2827764,0.0000,0,-27117,5,13
337843,四川,2018-07-02,0,8,8,-0.222222222222,8,33,0,27,0,992,992,38741,0,10075,0,28666,0,0,2747221,36380,12296,23594,196,65,12071,34,11374,31,0.5116,0.5231,0,0,0,0.00,0.00,0.00,2701,13,44,0,34,272000,20643,2242668,0.0025,2,2800,0,0
350127,四川,2018-07-02,0,9,8,0.181818181818,8,9,0,11,0,990,990,48191,0,11500,0,36691,0,0,801198,14253,3443,8511,140,34,3294,17,5121,17,0.3870,0.5000,0,0,0,0.00,0.00,0.00,999,4,33,4,20,160000,6199,558051,0.0063,1,-1600,0,0
352704,四川,2018-07-02,1,8,8,0.12,8,22,0,25,0,988,989,29146,0,29146,0,0,0,0,292290,35628,7432,2836,253,52,1473,26,1254,24,0.5194,0.5200,0,0,0,0.00,0.00,0.00,398,8,110,0,59,516000,2775,284349,0.0422,0,-38400,1,0
353942,四川,2018-07-02,1,8,8,-0.12,8,28,0,25,0,989,989,30310,17,16211,17,14099,0,0,1305995,25645,7897,21441,294,88,10573,49,10738,39,0.4931,0.5568,17,0,0,41.00,0.00,0.00,1413,8,739,0,463,3948000,18491,1005999,0.1606,4,-300,0,134
366424,四川,2018-07-02,0,8,8,0.433333333333,8,17,0,30,0,986,986,1277850,0,16012,0,1261838,0,0,2551764,30939,3128,35772,460,42,17484,23,15857,17,0.4888,0.5750,0,0,0,0.00,0.00,0.00,1482,7,3,0,1,10000,30064,2164599,0.0022,2,-1800,0,0
368686,四川,2018-07-02,1,9,8,0.666666666667,8,4,0,12,0,982,985,468146,250,100033,250,368113,0,0,314343,14281,992,2594,129,11,1260,4,1204,7,0.4857,0.3636,0,0,0,0.00,0.00,0.00,243,1,46,0,25,202000,1325,82259,0.1457,0,-600,3,0
374762,四川,2018-07-02,0,6,6,0.0869565217391,6,63,0,69,0,984,984,98489,0,19720,0,78769,0,1,3531104,125654,33961,42099,1124,304,21883,164,17764,126,0.5198,0.5655,1,0,0,2.00,0.00,0.00,2886,40,375,11,286,2372000,29058,2522687,0.0060,30,-2700,0,968
375266,四川,2018-07-02,1,9,8,0.740740740741,8,7,0,27,0,984,984,16015,0,16015,0,0,0,0,2744432,31959,1081,19750,285,12,8897,6,9136,6,0.4505,0.5000,0,0,0,0.00,0.00,0.00,2493,6,1084,1,735,6098000,16696,2165824,0.0000,1,-2000,0,0
383659,四川,2018-07-02,1,8,8,0.153846153846,8,11,0,13,0,978,981,1325782,0,16201,0,1309581,0,0,11916464,21241,5432,98691,205,52,55482,31,39814,20,0.5622,0.6078,2,0,0,12.00,0.00,0.00,6890,2,76,0,45,376000,71623,8705952,0.0000,0,8100,3,207
390247,四川,2018-07-02,1,9,8,0.333333333333,8,8,0,12,0,975,979,560530,0,196227,0,364303,0,0,224617,14842,1604,1644,109,15,749,7,761,6,0.4556,0.5385,0,0,0,0.00,0.00,0.00,366,2,65,0,29,232000,1467,200442,0.0000,0,0,4,0
390526,四川,2018-07-02,1,8,8,0.565217391304,8,20,0,46,0,976,979,23890,0,23890,0,0,0,0,1587554,35084,6430,19166,346,65,8924,33,10165,31,0.4656,0.5156,13,0,0,54.00,0.00,0.00,7294,49,1121,0,794,6564000,16135,1278375,0.0007,0,3200,3,78
393476,四川,2018-07-02,1,9,8,0.872727272727,8,7,0,55,0,975,978,242877,0,1000,0,241877,0,0,1674052,94096,1455,38421,1044,16,12792,8,25359,8,0.3329,0.5000,0,0,0,0.00,0.00,0.00,1965,10,1605,0,954,7748000,35913,1489484,0.0000,0,-7920,3,0
413621,四川,2018-07-02,1,9,8,0.842105263158,8,3,0,19,0,973,973,61117,0,5600,0,55517,0,0,993829,16902,346,12874,152,4,5852,2,6806,2,0.4546,0.5000,3,0,0,6.00,0.00,0.00,1361,1,213,0,135,1250000,11209,728439,0.0044,1,-3200,0,398
413987,四川,2018-07-02,1,9,8,0.777777777778,8,4,0,18,0,969,973,22534,0,22534,0,0,0,0,5919542,18046,457,64590,216,6,34105,2,27158,4,0.5280,0.3333,0,0,0,0.00,0.00,0.00,5594,1,1356,0,1083,8754000,51067,4741206,0.0000,0,-300,4,0
423731,四川,2018-07-02,0,8,8,-1.4375,8,39,0,16,0,970,970,29506,0,19626,0,9880,0,0,2489722,30652,17349,17455,205,116,9316,52,6784,58,0.5337,0.4727,1,0,0,2.00,0.00,0.00,1288,12,535,17,329,2640000,14151,2007321,0.0000,3,-2520,0,618
432525,四川,2018-07-02,0,8,8,0.345454545455,8,36,0,55,0,968,968,27352,0,27352,0,0,0,0,1135843,94777,14813,9759,754,122,4726,64,4839,56,0.4843,0.5333,0,0,0,0.00,0.00,0.00,1167,16,666,12,519,4172000,6395,744745,0.1811,2,7152,0,0
433752,四川,2018-07-02,0,8,8,0.178571428571,8,46,0,56,0,967,967,5127717,100,49472,100,5078245,0,1,3621323,106185,25016,33520,1049,238,17466,122,15182,116,0.5211,0.5126,0,0,0,0.00,0.00,0.00,2172,21,21,0,15,150000,26262,2884796,0.0004,39,10400,0,0
439934,四川,2018-07-02,1,8,8,-1.35714285714,8,33,0,14,0,960,966,8001,20,8001,20,0,0,0,1422018,38044,26875,11821,342,242,6210,137,5358,99,0.5253,0.5805,0,0,0,0.00,0.00,0.00,674,3,114,3,74,684000,5840,716429,0.0039,0,-1600,5,0
442737,四川,2018-07-02,1,8,8,0.63829787234,8,17,0,47,0,962,965,14628,0,14628,0,0,0,0,1759339,46767,2219,20950,453,21,11318,8,8110,13,0.5402,0.3810,0,0,0,0.00,0.00,0.00,2134,7,396,0,295,2390000,16421,1304208,0.0000,0,400,3,0
445612,四川,2018-07-02,1,9,8,0.727272727273,8,3,0,11,0,962,964,83646,0,15971,0,67675,0,0,987007,17081,222,14883,86,1,5334,1,9333,0,0.3584,1.0000,7,0,0,40.00,0.00,0.00,817,1,207,0,94,756000,10723,392473,0.0002,0,4577,2,186
445997,四川,2018-07-02,1,8,8,0.0714285714286,8,13,0,14,0,963,964,28442,0,28442,0,0,0,0,1736989,11819,3046,24278,179,47,12186,27,10504,17,0.5019,0.6136,7,0,0,27.00,0.00,0.00,1903,6,299,2,247,1986000,21309,1536821,0.0094,0,600,0,518
449204,四川,2018-07-02,0,8,8,0.444444444444,8,10,0,18,0,958,963,6314,0,6314,0,0,0,0,1455751,15900,4504,14659,122,32,6782,15,7445,16,0.4627,0.4839,2,0,0,6.00,0.00,0.00,1729,6,720,2,430,3516000,13747,1296210,0.0191,0,-9600,5,958
451373,四川,2018-07-02,1,8,8,-0.15,8,23,0,20,0,961,963,82087,0,2575,0,79512,0,0,498990,24653,9087,6505,276,108,3067,53,3316,54,0.4715,0.4953,0,0,0,0.00,0.00,0.00,915,9,190,0,115,887800,4606,378805,0.0000,0,-3925,2,0
454367,四川,2018-07-02,0,8,8,-0.0277777777778,8,37,0,36,0,962,962,1204250,0,53850,0,1150400,0,0,64203,54146,7420,700,360,45,362,19,329,26,0.5171,0.4222,0,0,0,0.00,0.00,0.00,106,15,11,0,3,28000,330,8414,0.0000,2,-10000,0,0
456065,四川,2018-07-02,0,8,8,0.433333333333,8,17,0,30,0,961,962,73115,0,73115,0,0,0,1,477155,25578,3341,4914,144,18,2320,8,2477,9,0.4721,0.4706,0,0,0,0.00,0.00,0.00,660,8,127,0,71,616500,3035,210462,0.0003,0,9000,1,0
456197,四川,2018-07-02,0,8,8,0.3,8,14,0,20,0,961,962,13154,0,13154,0,0,0,0,272795,26900,4511,3890,150,27,1751,16,2022,11,0.4501,0.5926,11,0,0,36.00,0.00,0.00,342,5,251,2,152,1218000,3664,234340,0.0057,0,-12000,1,497
460578,四川,2018-07-02,0,6,8,-1.2,8,66,0,30,0,956,956,4600,0,4600,0,0,0,0,649416,31963,15969,7948,379,189,4012,99,3539,89,0.5048,0.5266,6,0,0,24.00,0.00,0.00,1289,32,342,13,257,2058000,7529,614081,0.0000,20,-1600,0,385
461746,四川,2018-07-02,0,6,6,-0.114754098361,6,68,0,61,0,954,954,42880,30,7039,30,35841,0,0,1558007,109753,42875,14004,216,60,6441,2,6514,2,0.4599,0.5000,0,0,0,0.00,0.00,0.00,1335,37,356,0,190,1584000,11603,999489,0.0169,12,0,0,0
462046,四川,2018-07-02,0,8,8,0.638888888889,8,13,0,36,0,954,954,313566,0,13400,0,300166,0,0,393135,39560,3128,6715,285,21,3064,10,3503,9,0.4563,0.5263,3,0,0,34.00,0.00,0.00,493,5,252,0,138,1166000,6190,340724,0.0000,1,-3600,0,388
470453,四川,2018-07-02,0,9,8,0.785714285714,8,3,0,14,0,942,942,1132584,174,34100,174,1098484,0,0,375757,15910,74,3040,94,1,1505,0,1483,1,0.4951,0.0000,0,0,0,0.00,0.00,0.00,1026,8,65,0,24,196000,1760,203921,0.0500,1,-20800,0,0
471732,四川,2018-07-02,0,9,8,0.3,8,7,0,10,0,940,940,50060,0,27280,0,22780,0,0,514432,9739,1538,10410,132,21,4683,15,5324,6,0.4499,0.7143,9,0,0,51.00,0.00,0.00,603,3,298,0,99,876000,10217,499572,0.0017,1,-2100,0,732
476089,四川,2018-07-02,1,8,8,0.581395348837,8,18,0,43,0,934,935,5690,0,5690,0,0,0,0,841883,50949,4328,5537,265,25,2355,7,2885,16,0.4253,0.3043,0,0,0,0.00,0.00,0.00,1032,8,552,6,396,3178000,3903,531739,0.0110,0,0,1,0
476780,四川,2018-07-02,1,8,8,0.0526315789474,8,18,0,19,0,932,934,334126,0,24260,0,309866,0,0,1004914,16615,4247,9215,112,26,3971,16,4546,9,0.4309,0.6400,9,0,0,45.00,0.00,0.00,766,5,68,0,24,93200,7732,787951,0.0089,0,360,2,781
478192,辽宁,2018-07-02,0,8,8,0.15,8,34,0,40,0,932,932,74275,44,0,44,74275,0,0,2354980,60768,17785,7867,210,56,4070,31,3683,25,0.5174,0.5536,3,0,0,6.00,0.00,0.00,1962,22,95,0,77,666000,6237,1851529,0.0223,21,-2882,0,269
480610,四川,2018-07-02,0,8,8,0.0357142857143,8,54,0,56,0,929,929,1688077,2,25262,2,1662815,0,1,881974,24265,4408,6924,126,23,3589,12,3258,11,0.5183,0.5217,0,0,0,0.00,0.00,0.00,1680,14,67,0,28,230000,5801,669301,0.0033,52,3600,0,0
486306,四川,2018-07-02,1,9,8,0.571428571429,8,9,0,21,0,920,921,0,0,0,0,0,0,0,2681482,42339,6679,34913,327,73,17527,36,16829,29,0.5020,0.5538,0,0,0,0.00,0.00,0.00,1551,1,743,1,392,3284000,29476,1708330,0.0221,0,-241739,1,0
489528,四川,2018-07-02,1,8,8,0.8,8,10,0,50,0,917,917,10972,0,10972,0,0,0,0,2478195,88780,4291,26846,994,46,13922,24,11787,21,0.5186,0.5333,0,0,0,0.00,0.00,0.00,1587,4,277,2,229,1864000,21144,1976846,0.0000,1,-800,0,0
492234,四川,2018-07-02,0,6,6,0.0422535211268,6,68,0,71,0,914,914,63047,451,19640,451,43407,0,1,423254,99780,17568,4103,801,134,2183,83,1889,51,0.5320,0.6194,0,0,0,0.00,0.00,0.00,503,12,81,0,59,530000,3290,333993,0.2699,60,-6400,0,0
497758,四川,2018-07-02,0,8,8,0.244444444444,8,34,0,45,0,908,908,1506070,0,2340,0,1503730,0,0,1243346,57191,12671,15957,830,180,7905,93,7045,77,0.4954,0.5471,1,0,0,2.00,0.00,0.00,1989,30,223,0,162,830500,12602,1007080,0.0000,2,-13580,0,834
497929,四川,2018-07-02,0,6,6,-0.2,6,96,0,80,0,908,908,520504,30,142618,30,377886,0,0,5760108,220547,71393,50008,1228,407,25043,224,24371,180,0.5008,0.5545,0,0,0,0.00,0.00,0.00,2603,22,426,0,227,1852000,41382,4190739,0.0009,15,8000,0,0
505411,四川,2018-07-02,0,8,8,0.0,8,34,0,34,0,900,900,219289,0,20000,0,199289,0,1,644900,21637,4086,9178,169,25,4423,13,4258,11,0.4819,0.5417,7,0,0,18.00,0.00,0.00,516,17,219,0,101,812000,8716,590339,0.0000,33,3680,0,894
508097,四川,2018-07-02,1,9,8,0.846153846154,8,4,0,26,0,891,897,295796,0,13185,0,282611,0,0,258836,44276,1516,2128,331,15,909,8,1151,7,0.4272,0.5333,0,0,0,0.00,0.00,0.00,173,4,25,0,10,100000,1797,214560,0.0000,0,400,6,0
514807,四川,2018-07-02,1,8,6,0.296875,6,45,0,64,0,887,889,860,0,860,0,0,0,0,3353531,111407,23381,40857,1474,320,21404,159,18043,133,0.5239,0.5445,0,0,0,0.00,0.00,0.00,1677,14,639,10,455,3658000,29583,2435336,0.0104,0,-8700,2,0
540648,四川,2018-07-02,0,9,8,0.7,8,3,0,10,0,862,862,2071147,0,6000,0,2065147,0,1,719399,4814,221,4359,31,1,2157,0,2058,1,0.4948,0.0000,0,0,0,0.00,0.00,0.00,2106,9,2,0,2,20000,3438,580509,0.0000,20,-11250,0,0
545652,四川,2018-07-02,1,9,8,0.692307692308,8,4,0,13,0,852,858,9820709,0,16500,0,9804209,0,0,160855,13009,1301,2906,230,14,1377,5,1391,9,0.4738,0.3571,0,0,0,0.00,0.00,0.00,242,1,97,0,48,388000,2676,147846,0.0000,0,-1600,6,0
550996,四川,2018-07-02,0,6,6,-0.131147540984,6,69,0,61,0,853,853,64429,0,19303,0,45126,0,0,403217,88700,18623,2426,435,98,1309,52,1006,38,0.5396,0.5778,9,0,0,69.00,0.00,0.00,310,12,39,0,15,124000,1602,233955,0.0000,2,8000,0,566
555207,辽宁,2018-07-02,0,6,8,-0.142857142857,8,64,0,56,0,849,849,241387,0,74844,0,166543,0,1,1861625,58826,16069,8490,167,46,3376,17,4977,29,0.3976,0.3696,0,0,0,0.00,0.00,0.00,2480,12,444,0,336,2762450,6489,1193066,0.0026,29,-7000,0,0
556218,四川,2018-07-02,1,8,8,0.676470588235,8,11,0,34,0,846,849,18622,8000,18622,8000,0,0,0,1608916,31761,1081,17982,346,13,9229,6,8738,7,0.5132,0.4615,2,0,0,104.00,0.00,0.00,2673,3,620,2,450,3644000,14768,1317567,0.0002,0,3725,3,85
564619,四川,2018-07-02,0,8,8,0.277777777778,8,39,0,54,0,841,841,67802,136,11261,136,56541,0,0,708020,104372,17450,5516,743,141,2699,68,2682,70,0.4893,0.4928,0,0,0,0.00,0.00,0.00,562,16,242,0,106,860000,3617,441820,0.1053,5,-36800,0,0
571012,辽宁,2018-07-02,0,8,8,-0.107142857143,8,31,0,28,0,836,836,14700,314,14700,314,0,0,0,845484,29456,5016,9409,325,54,4213,23,5032,31,0.4478,0.4259,0,0,0,0.00,0.00,0.00,1062,11,325,11,260,1869000,6552,609296,0.0681,7,-10800,0,0
571545,辽宁,2018-07-02,0,9,8,0.666666666667,8,5,0,15,0,831,835,30676,80,30676,80,0,0,0,1872437,47006,4945,5765,135,13,2984,4,2615,9,0.5176,0.3077,11,0,0,23.00,0.00,0.00,869,2,218,0,154,1244000,4521,1427256,0.0007,0,5000,4,213
578825,四川,2018-07-02,1,8,8,0.0909090909091,8,10,0,11,0,824,829,20434,0,20434,0,0,0,0,2992785,12382,4115,32212,124,41,15518,23,16681,18,0.4817,0.5610,0,0,0,0.00,0.00,0.00,3785,6,851,0,688,5698000,28795,2659177,0.0000,0,3200,5,0
581631,四川,2018-07-02,0,8,6,0.338709677419,6,41,0,62,0,826,826,19960,0,19960,0,0,0,1,3460572,65301,10988,44623,963,160,23930,75,18804,72,0.5363,0.5102,0,0,0,0.00,0.00,0.00,4175,17,1003,6,811,6522000,34090,2729799,0.0000,1,-900,0,0
582717,四川,2018-07-02,1,9,8,0.75,8,3,0,12,0,819,825,480219,0,44000,0,436219,0,0,603716,11266,100,6934,96,1,3423,0,2876,1,0.4937,0.0000,0,0,0,0.00,0.00,0.00,1184,1,34,0,21,170000,6924,599984,0.3658,0,-3400,6,0
582723,四川,2018-07-02,1,NULL,8,NULL,8,NULL,NULL,37,0,822,825,38460,0,26460,0,12000,0,0,1985584,76160,0,22911,619,0,11348,0,11224,0,0.4953,0.0000,22,0,0,70.50,0.00,0.00,2008,1,350,0,214,1830000,18172,1344089,0.0000,0,4000,3,66
607578,四川,2018-07-02,1,9,8,0.714285714286,8,4,0,14,0,798,802,0,0,0,0,0,0,0,85624,19257,763,1265,184,9,548,4,686,4,0.4332,0.5000,0,0,0,0.00,0.00,0.00,93,1,65,1,25,206000,1081,66367,0.0028,0,-13487,4,0
