_u1.fuid,_u1.fplatformname,_u1.dt,_u1.if_away,_u1.label_score_week,_u1.label_score_month,_u1.play_score_alteration,_u1.label_score,_u1.play_passion_7day,_u1.pay_passion_7day,_u1.play_passion_30day,_u1.pay_passion_30day,_u1.lifespan,_u1.signup_to_now_days,_u1.total_silver_coin,_u1.total_gold_bar,_u1.carrying_silver_coin,_u1.carrying_gold_bar,_u1.safebox_silver_coin,_u1.safebox_gold_bar,_u1.if_vip,_u1.play_duration_life,_u1.play_duration_30day,_u1.play_duration_7day,_u1.play_innings_life,_u1.play_innings_30day,_u1.play_innings_7day,_u1.win_innings_life,_u1.win_innings_7day,_u1.lose_innings_life,_u1.lose_innings_7day,_u1.win_rate_life,_u1.win_rate_7day,_u1.pay_count_life,_u1.pay_count_30day,_u1.pay_count_7day,_u1.pay_sum_life,_u1.pay_sum_30day,_u1.pay_sum_7day,_u1.login_count_life,_u1.login_count_7day,_u1.bankrupt_count_life,_u1.bankrupt_count_7day,_u1.relieve_count_life,_u1.relieve_silver_coins_life,_u1.match_innings_life,_u1.match_duration_life,_u1.match_win_rate_life,_u1.recent_login_series_days,_u1.latest_play_coins,_u1.last_active_to_now_days,_u1.last_pay_to_now_days
21048527,辽宁,2018-07-02,1,8,8,0.368421052632,8,12,0,19,0,23,23,93881,0,14250,0,79631,0,0,47917,45524,9434,372,356,69,121,23,245,45,0.3253,0.3382,0,0,0,0.00,0.00,0.00,46,10,14,0,9,72000,0,0,1.0000,1,5000,0,0
21048528,辽宁,2018-07-02,1,9,8,0.666666666667,8,4,0,12,0,21,23,26000,0,26000,0,0,0,0,28717,28717,2801,158,158,9,43,4,90,4,0.2722,0.5000,0,0,0,0.00,0.00,0.00,26,1,0,0,0,0,0,0,1.0000,0,-8,2,0
21048572,云南,2018-07-02,0,8,8,0.588235294118,8,14,0,34,0,23,23,14420,0,14420,0,0,0,0,41244,41244,1872,240,240,11,70,2,160,9,0.2917,0.1818,0,0,0,0.00,0.00,0.00,49,6,5,0,5,40000,0,0,1.0000,1,-2000,0,0
21048597,山东,2018-07-02,1,NULL,8,NULL,8,NULL,NULL,28,0,20,23,54744,0,54744,0,0,0,0,69027,69027,0,356,356,0,128,0,204,0,0.3596,0.0000,0,0,0,0.00,0.00,0.00,71,5,11,0,11,88000,0,0,1.0000,0,15600,3,0
21048889,云南,2018-07-02,1,8,8,0.153846153846,8,11,0,13,0,18,23,91513,0,0,0,91513,0,0,13927,10205,4189,355,245,125,55,17,236,83,0.1549,0.1700,0,0,0,0.00,0.00,0.00,25,6,0,0,0,0,0,0,1.0000,0,-9050,5,0
21048970,云南,2018-07-02,0,8,5,0.477272727273,5,23,0,44,38,22,23,132630,0,11261,0,121369,0,0,81372,81372,6395,628,628,136,279,51,318,65,0.4443,0.4397,3,3,0,48.00,48.00,0.00,58,8,3,0,1,8000,0,0,1.0000,0,-12000,1,7
21049192,云南,2018-07-02,1,9,8,0.761904761905,8,5,0,21,0,19,22,9680,0,8711,0,969,0,0,28967,28967,733,224,224,5,72,3,111,2,0.3214,0.6000,0,0,0,0.00,0.00,0.00,43,2,7,0,3,24000,0,0,1.0000,0,1950,3,0
21049227,山东,2018-07-02,1,9,8,0.837209302326,8,7,0,43,0,16,22,24000,0,24000,0,0,0,0,102791,102791,4998,1712,1712,80,813,34,899,46,0.4749,0.4250,0,0,0,0.00,0.00,0.00,85,4,0,0,0,0,0,0,1.0000,0,12,6,0
21049615,辽宁,2018-07-02,0,6,8,-0.909090909091,8,63,0,33,0,22,22,118856,0,12000,0,106856,0,0,55885,53566,15317,437,420,122,175,47,256,74,0.4005,0.3884,0,0,0,0.00,0.00,0.00,37,11,0,0,0,0,0,0,1.0000,18,2000,0,0
21049629,云南,2018-07-02,0,5,5,-0.833333333333,5,33,12,18,22,21,22,1937,0,1937,0,0,0,0,16617,14917,9084,321,306,168,128,70,166,86,0.3988,0.4487,13,10,3,8.00,6.50,1.50,45,24,42,21,20,160000,0,0,1.0000,0,-1100,1,5
21049706,云南,2018-07-02,1,9,8,0.636363636364,8,4,0,11,0,16,22,39955,0,39955,0,0,0,0,2509,2509,283,119,119,13,58,7,58,6,0.4874,0.5385,0,0,0,0.00,0.00,0.00,13,1,4,0,4,32000,0,0,1.0000,0,-4000,6,0
21049719,江西,2018-07-02,1,8,8,0.125,8,14,0,16,0,22,22,12000,0,12000,0,0,0,0,19492,19492,4025,228,228,52,70,12,158,40,0.3070,0.2308,0,0,0,0.00,0.00,0.00,51,8,0,0,0,0,0,0,1.0000,1,-5,0,0
21049779,云南,2018-07-02,0,8,8,0.444444444444,8,10,0,18,0,21,22,0,0,0,0,0,0,0,20001,18973,2407,141,135,15,48,4,86,10,0.3404,0.2857,0,0,0,0.00,0.00,0.00,23,3,17,3,9,72000,0,0,1.0000,0,-7750,1,0
