fbpid,fuid,latest_login_time,lifespan,pay_sum,coin_sum,get_pay,get_win,get_sys,get_duihuan,senior,profession,personal,middle,low
BD5FDCFA71A9CD5313766DAE14B56F9F,1002454200,2018-07-21,216,0.00,116616,0.0000,12.2442,87.7558,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002585410,2018-08-26,214,0.00,1395374,0.0000,46.5782,47.6139,0.0000,1.0100,0.0000,0.0000,9.8000,89.1900
BD5FDCFA71A9CD5313766DAE14B56F9F,1002683982,2018-05-07,70,0.00,220493,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,99.1100,0.0000,0.8900
BD5FDCFA71A9CD5313766DAE14B56F9F,1002796040,2018-03-26,1,0.00,2000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002796123,2018-05-17,53,0.00,74500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,59.7700,0.0000,40.2300
BD5FDCFA71A9CD5313766DAE14B56F9F,1002798907,2018-03-30,4,0.00,7000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002800212,2018-03-27,1,0.00,2000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002840986,2018-06-28,84,0.00,11000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002908374,2018-04-24,1,0.00,2000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002911171,2018-05-23,29,0.00,97922,0.0000,77.3239,22.6761,0.0000,4.6200,0.0000,0.0000,19.7800,75.6000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002945848,2018-05-20,8,0.00,59006,0.0000,19.0553,80.9447,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002999639,2018-06-26,14,0.00,242012,0.0000,73.4140,26.5860,0.0000,36.0600,0.0000,0.0000,35.9500,27.9800
BD5FDCFA71A9CD5313766DAE14B56F9F,1003015563,2018-08-26,64,0.00,139737,0.0000,26.8769,73.1231,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002517249,2018-08-26,234,0.00,3143289,0.0000,38.8005,61.1995,0.0000,4.7500,0.0000,0.0000,7.2100,88.0400
384C601DAA0369E7BB9AECC1D53D3437,1002588132,2018-03-13,47,0.00,285780,0.0000,78.0731,21.9269,0.0000,0.0000,0.0000,0.0000,4.2400,95.7600
384C601DAA0369E7BB9AECC1D53D3437,1002756455,2018-08-20,161,0.00,363972,0.0000,5.9546,94.0454,0.0000,0.2100,0.0000,0.0000,0.0000,99.7900
384C601DAA0369E7BB9AECC1D53D3437,1002884244,2018-08-25,133,0.00,729646,0.0000,65.0911,34.9089,0.0000,0.0000,0.0000,0.0000,1.0800,98.9200
384C601DAA0369E7BB9AECC1D53D3437,1002927189,2018-06-21,51,0.00,388664,0.0000,39.2873,60.7127,0.0000,0.0000,0.0000,0.0000,2.7600,97.2400
384C601DAA0369E7BB9AECC1D53D3437,1002991576,2018-06-08,2,0.00,7840,0.0000,61.7347,38.2653,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002239040,2018-08-26,312,0.00,625746,0.0000,24.5028,75.4972,0.0000,0.0000,0.0000,0.0000,3.3700,96.6300
BD5FDCFA71A9CD5313766DAE14B56F9F,1002332796,2018-08-26,295,0.00,3833438,0.0000,69.1069,30.8931,0.0000,20.5600,0.0300,0.0000,35.2300,44.1900
BD5FDCFA71A9CD5313766DAE14B56F9F,1002388547,2018-07-19,240,0.00,43128,0.0000,49.0339,50.9661,0.0000,0.0000,0.0000,7.4300,0.0000,92.5700
BD5FDCFA71A9CD5313766DAE14B56F9F,1002630181,2018-08-26,196,0.00,461223,0.0000,54.0796,45.9204,0.0000,0.0000,0.0000,5.5100,4.0800,90.4100
BD5FDCFA71A9CD5313766DAE14B56F9F,1002633870,2018-03-16,31,0.00,172500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,2.4700,0.0000,97.5300
BD5FDCFA71A9CD5313766DAE14B56F9F,1002710684,2018-08-26,177,0.00,644528,0.0000,28.7914,69.4132,0.0000,0.0000,0.0000,0.0000,3.7300,96.2700
BD5FDCFA71A9CD5313766DAE14B56F9F,1002786494,2018-04-04,13,0.00,26500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002981242,2018-08-20,81,0.00,7000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002983964,2018-06-03,1,0.00,2000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1003078260,2018-08-03,4,0.00,56000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002193878,2018-08-26,357,0.00,553000,0.0000,0.0000,91.3201,8.6799,5.4200,0.0000,0.0000,3.0800,91.5000
384C601DAA0369E7BB9AECC1D53D3437,1002251021,2018-04-23,186,0.00,919367,0.0000,25.9779,74.0221,0.0000,0.6000,0.0000,0.0000,7.0600,92.3400
384C601DAA0369E7BB9AECC1D53D3437,1002353211,2018-03-23,134,0.00,995080,0.0000,81.7047,18.2953,0.0000,20.3300,6.2500,0.0000,39.9200,33.4900
384C601DAA0369E7BB9AECC1D53D3437,1002613053,2018-08-26,203,0.00,935171,0.0000,19.4775,76.4855,0.0000,0.0000,0.0000,0.0000,5.5100,94.4900
384C601DAA0369E7BB9AECC1D53D3437,1002841877,2018-08-24,141,0.00,1522734,0.0000,37.5527,62.4473,0.0000,4.9900,0.0000,0.0000,17.8900,77.1200
384C601DAA0369E7BB9AECC1D53D3437,1003115032,2018-08-24,5,0.00,55600,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002307980,2018-02-23,119,0.00,4000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002317913,2018-08-11,285,0.00,1184931,0.0000,46.6379,53.3621,0.0000,6.5400,0.0000,0.0000,15.3800,78.0800
BD5FDCFA71A9CD5313766DAE14B56F9F,1002544379,2018-04-20,99,0.00,4000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002600592,2018-07-25,176,0.00,653537,0.0000,25.0994,74.8303,0.0000,0.0000,0.0000,5.9300,0.1600,93.9200
BD5FDCFA71A9CD5313766DAE14B56F9F,1002658905,2018-08-26,187,0.00,1562065,0.0000,36.4692,56.1305,0.0000,0.4000,0.0000,1.3000,2.3100,95.9900
BD5FDCFA71A9CD5313766DAE14B56F9F,1002701893,2018-03-24,23,0.00,18620,0.0000,55.8304,44.1696,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002835627,2018-08-26,144,0.00,1463183,0.0000,19.5236,80.4764,0.0000,0.0000,0.0000,0.0000,14.6800,85.3200
BD5FDCFA71A9CD5313766DAE14B56F9F,1002999869,2018-08-26,75,0.00,1606621,0.0000,90.0912,9.0138,0.0000,0.7000,0.0000,0.0000,55.1200,44.1800
BD5FDCFA71A9CD5313766DAE14B56F9F,1003028443,2018-07-11,10,0.00,42000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1003090436,2018-08-26,21,0.00,356321,0.0000,1.4037,98.5963,0.0000,0.0000,0.0000,0.0000,0.5000,99.5000
384C601DAA0369E7BB9AECC1D53D3437,1002324893,2018-06-12,223,0.00,17522,0.0000,84.6327,15.3673,0.0000,0.7500,0.0000,0.0000,9.0700,90.1800
384C601DAA0369E7BB9AECC1D53D3437,1002550865,2018-02-03,21,0.00,94446,0.0000,65.0664,34.9336,0.0000,0.0000,0.0000,0.0000,0.7100,99.2900
384C601DAA0369E7BB9AECC1D53D3437,1002727254,2018-08-23,171,0.00,136264,0.0000,63.1668,35.3766,0.0000,0.0000,0.0000,0.0000,1.1100,98.8900
