user_style_daily_sirendoudizhu.fbpid,user_style_daily_sirendoudizhu.fuid,user_style_daily_sirendoudizhu.sys_sum,user_style_daily_sirendoudizhu.sys_percent,user_style_daily_sirendoudizhu.win_sum,user_style_daily_sirendoudizhu.win_percent,user_style_daily_sirendoudizhu.pay_sum,user_style_daily_sirendoudizhu.pay_percent,user_style_daily_sirendoudizhu.change_sum,user_style_daily_sirendoudizhu.change_percent,user_style_daily_sirendoudizhu.coin_total,user_style_daily_sirendoudizhu.primary_total_time,user_style_daily_sirendoudizhu.primary_total_count,user_style_daily_sirendoudizhu.primary_percent,user_style_daily_sirendoudizhu.practice_total_time,user_style_daily_sirendoudizhu.practice_total_count,user_style_daily_sirendoudizhu.practice_percent,user_style_daily_sirendoudizhu.native_total_time,user_style_daily_sirendoudizhu.native_total_count,user_style_daily_sirendoudizhu.native_percent,user_style_daily_sirendoudizhu.middle_total_time,user_style_daily_sirendoudizhu.middle_total_count,user_style_daily_sirendoudizhu.middle_percent,user_style_daily_sirendoudizhu.high_total_time,user_style_daily_sirendoudizhu.high_total_count,user_style_daily_sirendoudizhu.high_percent,user_style_daily_sirendoudizhu.master_total_time,user_style_daily_sirendoudizhu.master_total_count,user_style_daily_sirendoudizhu.master_percent,user_style_daily_sirendoudizhu.dt
2ABE914346CDA3D20DA8146C66E59B6A,11289282,49491,50.5201,48472,49.4799,0,0,0,0.0,97963,0,0,0.0,1210,8,36.2819,2125,12,63.7181,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
9268258C6A6D664E21E1D05D5634EBBA,11696166,70949,53.563,61510,46.437,0,0,0,0.0,132459,0,0,0.0,1427,9,79.9888,357,2,20.0112,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,3649827,8532,94.6738,480,5.3262,0,0,0,0.0,9012,0,0,0.0,448,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,9515879,10478,85.0418,1843,14.9582,0,0,0,0.0,12321,0,0,0.0,297,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11690608,15360,56.1404,12000,43.8596,0,0,0,0.0,27360,0,0,0.0,0,0,0.0,373,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11419914,794,48.4737,844,51.5263,0,0,0,0.0,1638,0,0,0.0,179,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,10426005,25994,61.6936,16140,38.3064,0,0,0,0.0,42134,0,0,0.0,658,5,61.1524,418,3,38.8476,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4297903,5232,91.5966,480,8.4034,0,0,0,0.0,5712,0,0,0.0,189,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,11199163,33223,63.6054,19010,36.3946,0,0,0,0.0,52233,0,0,0.0,3155,18,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4044491,31799,55.1712,25838,44.8288,0,0,0,0.0,57637,0,0,0.0,2730,17,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
