fbpid,fuid,lifespan,pay_sum,latest_login_time,null,付费,赢牌获得,系统产出,兑换,null,高级场,职业场,私人场,中级场,新手场
BD5FDCFA71A9CD5313766DAE14B56F9F,1003080167,20,0.00,2018-08-20,0.0000,0.0000,24.6818,75.3182,0.0000,0.0000,0.0000,0.0000,98.7700,0.1200,1.1100
384C601DAA0369E7BB9AECC1D53D3437,1002371573,225,0.00,2018-06-28,0.0000,0.0000,44.3975,37.5368,0.0000,0.0000,16.4900,0.0000,0.0000,79.5900,3.9100
384C601DAA0369E7BB9AECC1D53D3437,1002557199,151,0.00,2018-06-15,0.0000,0.0000,15.1205,84.8795,0.0000,0.0000,0.0000,0.0000,4.3100,0.0000,95.6900
384C601DAA0369E7BB9AECC1D53D3437,1002613724,189,0.00,2018-08-12,0.0000,0.0000,73.6071,26.3929,0.0000,0.0000,0.0000,0.0000,0.0000,8.8800,91.1200
384C601DAA0369E7BB9AECC1D53D3437,1002727902,1,0.00,2018-03-06,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
384C601DAA0369E7BB9AECC1D53D3437,1002778401,6,0.00,2018-03-25,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002844377,55,0.00,2018-05-31,0.0000,0.0000,27.1010,72.8990,0.0000,0.0000,0.0000,0.0000,0.0000,1.1800,98.8200
384C601DAA0369E7BB9AECC1D53D3437,1003049310,44,0.00,2018-08-26,0.0000,0.0000,6.2965,93.7035,0.0000,0.0000,0.0000,0.0000,0.0000,4.1200,95.8800
BD5FDCFA71A9CD5313766DAE14B56F9F,1002210079,331,0.00,2018-08-26,0.0000,0.0000,50.8705,49.1295,0.0000,0.0000,0.4900,0.0000,0.0000,8.3100,91.2000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002319450,300,0.00,2018-08-26,0.0000,0.0000,7.7443,92.2557,0.0000,0.0000,6.0300,0.0000,0.0000,16.0300,77.9400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002324305,233,0.00,2018-06-22,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.3800,0.0000,0.0000,8.7800,90.8400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002592520,211,0.00,2018-08-26,0.0000,0.0000,34.6634,64.8966,0.0000,0.0000,6.1000,0.0000,0.0000,36.8100,57.0900
BD5FDCFA71A9CD5313766DAE14B56F9F,1002652948,181,1.98,2018-08-19,0.0000,8.0224,11.8746,80.0450,0.0000,0.0000,0.0000,0.0000,0.0000,2.3300,97.6700
BD5FDCFA71A9CD5313766DAE14B56F9F,1002738618,1,0.00,2018-03-09,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002746582,1,0.00,2018-03-11,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002966716,94,0.00,2018-08-25,0.0000,0.0000,45.4460,54.5540,0.0000,0.0000,0.8000,0.0000,0.0000,2.2000,97.0100
BD5FDCFA71A9CD5313766DAE14B56F9F,1003002216,73,0.00,2018-08-26,0.0000,0.0000,54.8820,45.1180,0.0000,0.0000,0.0000,0.0000,0.0000,2.7600,97.2400
384C601DAA0369E7BB9AECC1D53D3437,1002519329,234,0.00,2018-08-26,0.0000,0.0000,84.3955,15.6045,0.0000,0.0000,6.6100,0.0000,0.0000,45.3900,48.0000
384C601DAA0369E7BB9AECC1D53D3437,1002614006,202,0.00,2018-08-25,0.0000,0.0000,8.1786,91.8214,0.0000,0.0000,0.0000,0.0000,0.0000,11.5100,88.4900
384C601DAA0369E7BB9AECC1D53D3437,1002912056,124,0.00,2018-08-26,0.0000,0.0000,35.6705,64.3295,0.0000,0.0000,0.8300,0.0000,0.0000,13.4200,85.7400
384C601DAA0369E7BB9AECC1D53D3437,1002972806,5,0.00,2018-05-31,0.0000,0.0000,39.3204,60.6796,0.0000,0.0000,0.0000,0.0000,60.1200,0.0000,39.8800
384C601DAA0369E7BB9AECC1D53D3437,1002982792,86,0.00,2018-08-26,0.0000,0.0000,52.9396,47.0604,0.0000,0.0000,9.3900,0.0000,0.0000,26.8400,63.7700
384C601DAA0369E7BB9AECC1D53D3437,1003037834,12,0.00,2018-07-19,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002250941,133,0.00,2018-03-01,0.0000,0.0000,79.8282,20.1718,0.0000,0.0000,3.3200,0.6100,0.0000,24.1000,71.9700
BD5FDCFA71A9CD5313766DAE14B56F9F,1002265270,309,0.00,2018-08-25,0.0000,0.0000,97.3364,2.6636,0.0000,0.0000,0.6500,0.0000,0.0000,97.4100,1.9500
BD5FDCFA71A9CD5313766DAE14B56F9F,1002279864,163,0.00,2018-04-02,0.0000,0.0000,87.4053,12.5947,0.0000,0.0000,12.8600,6.0700,0.0000,47.1700,33.8900
BD5FDCFA71A9CD5313766DAE14B56F9F,1002439593,257,0.00,2018-08-26,0.0000,0.0000,34.1640,65.8360,0.0000,0.0000,1.3400,0.0000,0.0000,9.5800,89.0800
BD5FDCFA71A9CD5313766DAE14B56F9F,1002596677,44,0.00,2018-03-13,0.0000,0.0000,68.5109,31.4891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002610507,34,0.00,2018-03-09,0.0000,0.0000,67.5325,32.4675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002731559,162,0.00,2018-08-15,0.0000,0.0000,70.5608,28.8728,0.0000,0.0000,32.6700,0.0000,1.6900,11.5200,54.1200
BD5FDCFA71A9CD5313766DAE14B56F9F,1002861520,20,0.00,2018-04-29,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002867470,62,0.00,2018-06-11,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4300,96.5700
BD5FDCFA71A9CD5313766DAE14B56F9F,1003006969,28,0.00,2018-07-15,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
384C601DAA0369E7BB9AECC1D53D3437,1002485917,231,0.00,2018-08-17,0.0000,0.0000,25.7275,74.2725,0.0000,0.0000,0.4100,0.0000,0.0000,7.0900,92.5000
384C601DAA0369E7BB9AECC1D53D3437,1002599456,151,0.00,2018-06-29,0.0000,0.0000,61.8566,38.1434,0.0000,0.0000,0.7400,0.0000,0.6100,14.4300,84.2200
384C601DAA0369E7BB9AECC1D53D3437,1002837080,4,0.00,2018-04-08,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002919915,74,44.94,2018-07-11,0.0000,46.3697,26.2588,14.3165,0.0000,0.0000,0.0600,0.0000,0.0000,31.9000,68.0400
384C601DAA0369E7BB9AECC1D53D3437,1002964823,89,0.00,2018-08-19,0.0000,0.0000,4.2005,95.7995,0.0000,0.0000,0.0000,0.0000,0.0000,12.7200,87.2800
384C601DAA0369E7BB9AECC1D53D3437,1002984858,56,0.00,2018-07-28,0.0000,0.0000,25.3480,74.6520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002331184,296,0.00,2018-08-26,0.0000,0.0000,15.5791,82.9001,0.0000,0.0000,7.3000,0.8900,0.0000,26.5700,65.2400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002431205,259,0.00,2018-08-26,0.0000,0.0000,4.2291,95.7709,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002445906,103,0.00,2018-03-27,0.0000,0.0000,12.2126,77.7949,0.0000,0.0000,0.0000,0.0000,0.0000,1.2900,98.7100
BD5FDCFA71A9CD5313766DAE14B56F9F,1002449579,108,0.00,2018-04-02,0.0000,0.0000,65.0720,34.9280,0.0000,0.0000,0.0000,0.0000,0.0000,5.0400,94.9600
BD5FDCFA71A9CD5313766DAE14B56F9F,1002696561,1,0.00,2018-03-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002946996,98,0.00,2018-08-18,0.0000,0.0000,53.3895,46.6105,0.0000,0.0000,0.1200,0.0000,6.2900,5.7400,87.8500
BD5FDCFA71A9CD5313766DAE14B56F9F,1003052886,1,0.00,2018-07-16,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1003113450,8,0.00,2018-08-26,0.0000,0.0000,46.9064,53.0936,0.0000,0.0000,0.0000,0.0000,0.0000,7.1300,92.8700
